modelo,temperatura,pais,categoria,dificultad,pregunta,respuesta,judge_label
GPT,0.4,ecuador,fauna,FÁCIL,¿Qué tipo de especie es Puffinus subalaris?,"Puffinus subalaris es una especie de ave marina, conocida comúnmente como pardela de alas cortas.",correcta
GPT,0.4,ecuador,fauna,INTERMEDIA,¿Dónde se encuentra Knodus septentrionalis?,"Knodus septentrionalis se encuentra en ríos y cuerpos de agua dulce en América del Sur, específicamente en la cuenca del Amazonas y sus afluentes.",parcial
GPT,0.4,ecuador,flora,DIFÍCIL,¿Qué características distintivas tiene Brachyotum confertum y en qué parque está protegida?,"Brachyotum confertum es una especie de planta que se caracteriza por sus hojas grandes y coriáceas, así como por sus flores agrupadas en inflorescencias. Esta especie está protegida en el Parque Nacional Chirripó, en Costa Rica.",alucinacion
GPT,0.4,ecuador,flora,FÁCIL,¿Qué tipo de planta es el Ecuadendron?,El Ecuadendron es un género de plantas arbóreas endémicas de Ecuador.,parcial
GPT,0.4,ecuador,flora,INTERMEDIA,¿Dónde es nativa el Anthurium andraeanum?,El Anthurium andraeanum es nativo de Colombia y Ecuador.,correcta
GPT,0.4,ecuador,geography,DIFÍCIL,¿A quién se le debe el nombre de la Parroquia Sucre y qué evento histórico relevante está asociado con esta figura?,"El nombre de la Parroquia Sucre se debe a Antonio José de Sucre, un líder militar y político venezolano. Está asociado con la independencia de varios países de América Latina, siendo un evento histórico relevante la Batalla de Ayacucho en 1824, donde logró una victoria decisiva para la independencia del Perú y el fin del dominio español en la región.",parcial
GPT,0.4,ecuador,geography,FÁCIL,¿Cuál es la cabecera cantonal del Cantón Eloy Alfaro?,La cabecera cantonal del Cantón Eloy Alfaro es la ciudad de La Concordia.,alucinacion
GPT,0.4,ecuador,geography,INTERMEDIA,¿Cuál es la cabecera cantonal del Cantón El Carmen?,La cabecera cantonal del Cantón El Carmen es la ciudad de El Carmen.,correcta
GPT,0.4,ecuador,tradition,DIFÍCIL,¿Cuál es el origen histórico de la diablada de Píllaro y qué cambios ha tenido en su vestimenta a lo largo del tiempo?,"La diablada de Píllaro tiene su origen en una mezcla de tradiciones indígenas y la influencia de la colonización española, reflejando la lucha entre el bien y el mal. Originalmente, los diablos representaban a los espíritus de la naturaleza y las fuerzas del mal. Con el tiempo, la vestimenta ha evolucionado, pasando de trajes más simples y tradicionales a diseños más elaborados y coloridos, incorporando elementos modernos y materiales diversos, lo que ha enriquecido su expresión cultural.",correcta
GPT,0.4,ecuador,tradition,FÁCIL,¿Cuándo se efectúa el festival de la Concha Acústica de la Villa Flora?,El festival de la Concha Acústica de la Villa Flora se efectúa generalmente en el mes de diciembre.,parcial
GPT,0.4,ecuador,tradition,INTERMEDIA,¿Qué representa la warmitukushka durante el Pawkar Raymi?,"La warmitukushka representa a la madre tierra y la fertilidad durante el Pawkar Raymi, una festividad andina que celebra el inicio del ciclo agrícola y la llegada de la primavera.",parcial
