row_index,model,pais,Category,Difficulty,Question,Answer,response,score_embedding,judge_method,judge_raw,judge_prompt_version,judge_label,judge_stability,judge_consolidation
12,GPT,argentina,tradition,DIFÍCIL,¿Qué reconocimiento recibió el Quinteto Santa Fe en 2014 y por quién?,fue reconocida su trayectoria por la Cámara de Diputados de la Provincia de Santa Fe.,"En 2014, el Quinteto Santa Fe recibió el reconocimiento de ""Mejor Grupo de Jazz"" en los Premios Gardel, otorgados por la Cámara Argentina de Productores de Fonogramas y Videogramas.",0.3664001226425171,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
13,GPT,argentina,tradition,FÁCIL,¿Dónde nació Raúl Barboza?,Buenos Aires,"Raúl Barboza nació en Formosa, Argentina.",0.3337393999099731,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
14,GPT,argentina,tradition,INTERMEDIA,¿Qué instrumento tocó Oscar Alem antes de pasarse al piano?,Contrabajo,Oscar Alem tocó el acordeón antes de pasarse al piano.,0.0145306568592786,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
15,GPT,bolivia,dish,DIFÍCIL,¿En qué celebraciones mayores suele ser incluida la sajta de pollo y qué variantes se encuentran dependiendo de la región?,las celebraciones mayores como Todos los santos o Carnaval; diferentes variantes dependiendo de la región,"La sajta de pollo suele ser incluida en celebraciones mayores como fiestas patronales, bodas y festividades familiares en Perú. Las variantes regionales incluyen la sajta de pollo con ají amarillo en la costa, mientras que en la sierra se pueden encontrar versiones con ingredientes locales como la papa y el maíz.",0.4759931266307831,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
16,GPT,bolivia,dish,FÁCIL,¿Qué es el majadito?,un plato típico de la gastronomía de Bolivia,"El majadito es un plato típico de la gastronomía de Bolivia, especialmente de la región de Santa Cruz. Se elabora a base de arroz, carne (generalmente de res o pollo), plátano frito y a veces se le añaden verduras y especias. Es un plato sustancioso y muy apreciado en la cocina cruceña.",0.8662577867507935,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
17,GPT,bolivia,dish,INTERMEDIA,¿Con qué alimento se suele comer la sopa de cacahuete en Ghana?,Con fufu.,La sopa de cacahuete en Ghana se suele comer con arroz o fufu.,0.4373907446861267,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
18,GPT,bolivia,fauna,DIFÍCIL,¿Cuántas subespecies de Pseudastur albicollis se conocen?,Se conocen cuatro subespecies.,Se conocen dos subespecies de Pseudastur albicollis.,0.6322451233863831,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
19,GPT,bolivia,fauna,FÁCIL,¿Qué tipo de especie es Spectrolebias bellidoi?,una especie de pez ciprinodontiforme anual,"Spectrolebias bellidoi es una especie de pez de agua dulce, perteneciente a la familia de los rivulines.",0.5622912645339966,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
20,GPT,bolivia,fauna,INTERMEDIA,¿Cuál es la longitud total que pueden alcanzar los machos de Acanthopoma annectens?,Pueden llegar alcanzar los 12 cm de longitud total.,Los machos de Acanthopoma annectens pueden alcanzar una longitud total de hasta 20 cm.,0.5882081985473633,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
21,GPT,bolivia,geography,DIFÍCIL,¿Qué ecosistemas se encuentran en el Parque regional Yacuma y con qué otras áreas protegidas está asociado?,los ecosistemas de bosques preandinos y sabanas inundables; junto a la Reserva de biosfera Estación Biológica del Beni y la Zona de Protección de Cuencas Hidrográficas Eva Eva – Mosetenes,"El Parque Regional Yacuma alberga ecosistemas de humedales, bosques inundables y sabanas. Está asociado con otras áreas protegidas como la Reserva de la Biosfera del Beni y el Parque Nacional Madidi.",0.6507090330123901,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
22,GPT,bolivia,geography,FÁCIL,¿Qué tipo de lugar es la Laguna del Becerro?,una laguna,"La Laguna del Becerro es un espacio natural, generalmente considerado un humedal o una laguna, que puede ser un hábitat para diversas especies de flora y fauna.",0.5589564442634583,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
23,GPT,bolivia,geography,INTERMEDIA,¿En qué municipio se encuentra la Laguna de San Nicolás?,el municipio de Caraparí,"La Laguna de San Nicolás se encuentra en el municipio de San Nicolás de los Garza, Nuevo León, México.",0.2527346909046173,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
24,GPT,bolivia,public_figure,DIFÍCIL,¿Qué relación tuvo Antonio Ávila Jiménez con la Guerra del Chaco y qué cargo ocupó en el servicio diplomático?,Se alistó voluntario en la Guerra del Chaco y fue cónsul de Bolivia en El Havre.,"Antonio Ávila Jiménez fue un diplomático paraguayo que desempeñó un papel importante durante la Guerra del Chaco (1932-1935) entre Paraguay y Bolivia. Ocupó el cargo de Ministro de Relaciones Exteriores de Paraguay durante este conflicto, donde estuvo involucrado en la gestión de las relaciones internacionales y la defensa de los intereses del país.",0.6597456932067871,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
25,GPT,bolivia,public_figure,FÁCIL,¿Cuándo nació Gary Daher Canedo?,el 31 de octubre de 1956,"Lo siento, no tengo información sobre Gary Daher Canedo.",0.1906105875968933,gpt,ABSTENCION,v2_fixed_system_prompt,abstencion,True,mode_of_3_runs
26,GPT,bolivia,public_figure,INTERMEDIA,¿Qué partido político fundó José Antonio Arze?,El Partido de la Izquierda Revolucionaria (PIR).,José Antonio Arze fundó el Partido Socialista 1 (PS1) en Bolivia.,0.4290335774421692,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
27,GPT,bolivia,tradition,DIFÍCIL,¿Qué contribución significativa hizo Mauro Núñez al charango en el contexto de la música boliviana?,"Logró consolidar el charango como un instrumento de concierto, no solo de acompañamiento.","Mauro Núñez es reconocido por su innovadora técnica de interpretación y por popularizar el charango en la música boliviana, fusionando estilos tradicionales con influencias contemporáneas. Su trabajo ha ayudado a elevar el charango como un instrumento emblemático en la escena musical del país.",0.6460458040237427,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
28,GPT,bolivia,tradition,FÁCIL,¿Qué es el pepino en el contexto cultural de Bolivia?,un personaje tradicional de Bolivia,"En el contexto cultural de Bolivia, el pepino se refiere a una planta que tiene un significado simbólico en algunas tradiciones y festividades. Además, en la gastronomía boliviana, el pepino es un ingrediente común en ensaladas y platos típicos. Sin embargo, su relevancia cultural puede variar según la región y las costumbres locales.",0.5833748579025269,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
29,GPT,bolivia,tradition,INTERMEDIA,¿En qué se acompaña el taquipayanaku durante su interpretación?,de zapateo y música de charangos y acordeones,"El taquipayanaku se acompaña generalmente de instrumentos musicales tradicionales como la guitarra, el charango y la flauta, además de la percusión. También puede incluir danzas y cantos.",0.6392041444778442,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
30,GPT,chile,dish,DIFÍCIL,¿Cuáles son las dos zonas vitícolas que incluye el Valle de Curicó y qué características climáticas se destacan en esta subregión?,Valle del Teno y Valle del Lontué; se caracteriza por la alta variación de temperatura entre el día y la noche,"Las dos zonas vitícolas que incluye el Valle de Curicó son la zona de Curicó y la zona de Lontué. Las características climáticas que se destacan en esta subregión son un clima mediterráneo, con veranos cálidos y secos, e inviernos frescos y lluviosos, lo que favorece el cultivo de diversas variedades de uva.",0.482124924659729,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
31,GPT,chile,dish,FÁCIL,¿Qué nombre común recibe el Choromytilus chorus?,choro zapato y choro maltón,"El Choromytilus chorus es comúnmente conocido como ""mejillón chileno"".",0.172441691160202,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
32,GPT,chile,dish,INTERMEDIA,¿En qué región vitícola se encuadra el Valle del Marga-Marga?,Se encuadra dentro de la región vitícola de Aconcagua.,"El Valle del Marga-Marga se encuadra en la región vitícola de la Región de Valparaíso, Chile.",0.3289803564548492,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
33,GPT,chile,flora,DIFÍCIL,¿Qué medidas de protección se han implementado para Jubaea chilensis desde 1974?,"Se encuentra protegida bajo el decreto ley 701 de 1974, que establece que la tala o explotación debe ejecutarse según un plan de manejo, aprobado por la Corporación Nacional Forestal (CONAF).","Desde 1974, se han implementado diversas medidas de protección para Jubaea chilensis, incluyendo su inclusión en la categoría de especie protegida en Chile, la creación de áreas de conservación, y programas de reforestación y educación ambiental para preservar su hábitat y promover su cultivo sostenible.",0.4610942900180816,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
34,GPT,chile,flora,FÁCIL,¿Qué tipo de especie es Alstroemeria huemulina?,una especie fanerógama,Alstroemeria huemulina es una especie de planta herbácea perenne perteneciente a la familia Alstroemeriaceae.,0.2547516226768493,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
35,GPT,chile,flora,INTERMEDIA,¿En qué planta fue aislada la laurolitsina además del boldo?,en la corteza del peumo (Cryptocarya alba (Molina) Looser),"La laurolitsina también fue aislada de la planta ""Peumus boldus"", además de otras especies como ""Laurus nobilis"".",0.440616101026535,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
36,GPT,chile,geography,DIFÍCIL,¿Qué municipios reúne el Gran Valparaíso y cuál es su municipio principal?,"reúne a cinco municipios de la Región de Valparaíso, siendo su municipio principal Valparaíso","El Gran Valparaíso reúne los municipios de Valparaíso, Viña del Mar, Quilpué, Villa Alemana, Concón, Puchuncaví y Casablanca. Su municipio principal es Valparaíso.",0.7940565943717957,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
37,GPT,chile,geography,FÁCIL,¿Qué tipo de lugar es Puerto Río Tranquilo?,una pequeña aldea,"Puerto Río Tranquilo es una localidad ubicada en la Región de Aysén, Chile, conocida por su belleza natural, especialmente por las formaciones de mármol en el Lago General Carrera y su entorno de montañas y bosques. Es un destino turístico popular para actividades al aire libre como el senderismo y el kayak.",0.1481734216213226,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
38,GPT,chile,geography,INTERMEDIA,¿Qué microalga fue responsable de la crisis de la marea roja en Chiloé de 2016?,Alexandrium catenella,La microalga responsable de la crisis de la marea roja en Chiloé en 2016 fue Alexandrium catenella.,0.4017694890499115,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
39,GPT,chile,public_figure,DIFÍCIL,¿Qué ocupaciones tuvo Jorge Jobet y en qué institución fue director de la Escuela de Periodismo?,Poeta y periodista; la Escuela de Periodismo de Valparaíso,Jorge Jobet fue periodista y político chileno. Se desempeñó como director de la Escuela de Periodismo de la Universidad de Chile.,0.3964569568634033,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
40,GPT,chile,public_figure,FÁCIL,¿Dónde nació Camilo José Vergara?,Chile,"Camilo José Vergara nació en Santiago, Chile.",0.3943246304988861,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
41,GPT,chile,public_figure,INTERMEDIA,¿En qué institución trabajó Próspero Bisquertt Prado entre los años 1913 y 1923?,Trabajó en la Dirección General de Impuestos Internos.,Próspero Bisquertt Prado trabajó en la Universidad de Chile entre 1913 y 1923.,0.14777871966362,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
42,GPT,chile,tradition,DIFÍCIL,¿Quién fue una de las principales figuras que mantuvo la tradición de la loza policromada en Talagante y qué tipo de imágenes recreaba?,"Antonina viuda de Calderón, quien recreaba imágenes costumbristas.","Una de las principales figuras que mantuvo la tradición de la loza policromada en Talagante fue el alfarero Manuel de la Cruz. Recreaba imágenes de la vida cotidiana, así como escenas religiosas y figuras de la cultura popular.",0.5037602782249451,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
43,GPT,chile,tradition,FÁCIL,¿En qué año fue fundada la banda Amerindios?,en 1967 en Santiago de Chile,La banda Amerindios fue fundada en 1970.,0.2628879249095917,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
44,GPT,chile,tradition,INTERMEDIA,¿En qué año fue fundado el Festival Internacional de Teatro Itinerante por Chiloé Profundo?,el año 2010.,El Festival Internacional de Teatro Itinerante por Chiloé Profundo fue fundado en 2003.,0.1423538923263549,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
45,GPT,colombia,dish,DIFÍCIL,¿Qué ingredientes se mezclan en la lulada y cómo se caracteriza su preparación?,se mezcla con jugo de limón y se caracteriza por el maceramiento o troceo de la pulpa de la fruta con la mano,"La lulada se prepara principalmente con lulo (una fruta tropical), agua, azúcar y hielo. Se caracteriza por su mezcla de pulpa de lulo con agua y azúcar, que se agita o mezcla bien, y se sirve fría, a menudo con hielo picado. Es una bebida refrescante y popular en Colombia.",0.5612952709197998,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
46,GPT,colombia,dish,FÁCIL,¿Qué es la hojaldra?,una fritura típica de países latinoamericanos como Colombia y Panamá.,"La hojaldra es un tipo de masa frita, crujiente y ligera, típica de la gastronomía de algunos países de América Latina, especialmente en México y Centroamérica. Se elabora con harina, agua y sal, y a menudo se consume como un snack o acompañamiento, a veces espolvoreada con azúcar o acompañada de miel.",0.4519973993301391,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
47,GPT,colombia,dish,INTERMEDIA,¿En qué año fue lanzado al mercado el Chocoramo?,En 1972.,El Chocoramo fue lanzado al mercado en 1970.,0.367842435836792,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
48,GPT,colombia,fauna,DIFÍCIL,¿Por qué está amenazada de extinción Rhinella macrorhina y en qué tipo de hábitat vive?,debido a la fragmentación y pérdida de su hábitat; vive en la hojarasca del bosque,"Rhinella macrorhina está amenazada de extinción principalmente debido a la pérdida de hábitat, la degradación ambiental y la contaminación. Vive en hábitats de bosques tropicales y subtropicales, así como en áreas cercanas a cuerpos de agua dulce.",0.5821832418441772,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
49,GPT,colombia,fauna,FÁCIL,¿Qué tipo de especie es Hemidoras stenopeltis?,una especie de pez de la familia Doradidae en el orden de los Siluriformes,"Hemidoras stenopeltis es una especie de pez de agua dulce, perteneciente a la familia Doradidae, comúnmente conocida como pez gato o dorado.",0.74201899766922,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
50,GPT,colombia,fauna,INTERMEDIA,¿Dónde se encuentra Petilipinnis grunniens?,"Se encuentran en Sudamérica: cuencas de los ríos Amazonas, Cuyuni y Esequibo.","Petilipinnis grunniens se encuentra en aguas dulces de América del Sur, específicamente en la cuenca del río Amazonas.",0.6129770874977112,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
51,GPT,colombia,geography,DIFÍCIL,¿Qué corrientes de aire afectan al Páramo de Frontino y cómo influyen en su clima?,las corrientes de aire provenientes del mar Caribe y del océano Pacífico,"El Páramo de Frontino se ve afectado principalmente por corrientes de aire húmedo provenientes del Océano Pacífico y vientos alisios. Estas corrientes traen humedad que se condensa en forma de lluvias, lo que contribuye a un clima frío y húmedo, característico de los páramos. Además, la altitud y la topografía del área generan microclimas, lo que puede resultar en variaciones significativas en temperatura y precipitación dentro de la región.",0.636358380317688,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
52,GPT,colombia,geography,FÁCIL,¿Qué tipo de área protegida es el Parque nacional natural Corales de Profundidad?,una de las áreas protegidas del sistema de Parques Nacionales naturales de Colombia,El Parque Nacional Natural Corales de Profundidad es un área marina protegida en Colombia.,0.6459564566612244,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
53,GPT,colombia,geography,INTERMEDIA,¿Qué función ejerce un cabildo indígena?,la función de representar a las comunidades indígenas colombianas ante el gobierno local y nacional,"Un cabildo indígena ejerce funciones de gobierno y representación de las comunidades indígenas, promoviendo la autonomía, la defensa de sus derechos, la gestión de recursos y la preservación de su cultura y tradiciones.",0.6990535259246826,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
54,GPT,colombia,public_figure,DIFÍCIL,"¿Qué evento trágico ocurrió durante el ""Tour Pies Descalzos"" en Barranquilla y cuál fue su saldo?",Una estampida de fanáticos que terminó en tragedia con un saldo de 3 muertos y 120 heridos.,"Durante el ""Tour Pies Descalzos"" en Barranquilla, un trágico evento ocurrió el 24 de septiembre de 1999, cuando una estampida en el estadio Elías Chegwin dejó un saldo de 21 personas fallecidas y más de 100 heridas.",0.5546594858169556,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
55,GPT,colombia,public_figure,FÁCIL,"¿Quién es el cantante de la canción ""Gris""?",J Balvin,"El cantante de la canción ""Gris"" es el artista español **C. Tangana**.",0.0126562807708978,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
56,GPT,colombia,public_figure,INTERMEDIA,"¿Quién es la artista que interpreta ""Dançando""?",la artista brasileña Ivete Sangalo,"La artista que interpreta ""Dançando"" es Ana Carolina.",0.4107576310634613,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
57,GPT,colombia,tradition,DIFÍCIL,¿Cuáles fueron el país y el departamento invitados especiales en la 39.ª edición del Festival Internacional de la Cultura de Boyacá?,España y Valle del Cauca,"En la 39.ª edición del Festival Internacional de la Cultura de Boyacá, el país invitado especial fue México y el departamento invitado especial fue el Valle del Cauca.",0.4079826474189758,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
58,GPT,colombia,tradition,FÁCIL,¿Qué es el mapalé?,un ritmo afrocolombiano de danza.,"El mapalé es un baile tradicional de origen afrocolombiano, originario de la región de la costa caribeña de Colombia. Se caracteriza por su ritmo alegre y enérgico, así como por sus movimientos sensuales y dinámicos. El mapalé se acompaña generalmente de música en vivo, con instrumentos como tambores y maracas. Es una expresión cultural que refleja la herencia africana en la música y danza colombiana.",0.7318106889724731,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
59,GPT,colombia,tradition,INTERMEDIA,¿En qué lugar tiene un enorme arraigo el Son de Negro?,en las orillas del Canal del Dique,"El Son de Negro tiene un enorme arraigo en la región de Veracruz, México.",0.1285828202962875,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
60,GPT,costa rica,dish,DIFÍCIL,¿Qué nombre reciben los platanitos en Colombia y cómo se les llama en el departamento de Valle del Cauca?,En Colombia se les llama platanitos y en el departamento de Valle del Cauca se les llama patacones.,"En Colombia, los platanitos se conocen comúnmente como ""patacones"". En el departamento de Valle del Cauca, también se les llama ""tostones"".",0.8532775640487671,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
61,GPT,costa rica,dish,FÁCIL,¿Qué es la gastronomía de la provincia de Limón?,La cocina tradicional de la provincia de Limón en Costa Rica.,"La gastronomía de la provincia de Limón, en Costa Rica, se caracteriza por su influencia afrocaribeña, con platos típicos que incluyen el rice and beans (arroz con frijoles negros cocidos en leche de coco), el patí (empanadas rellenas) y el ceviche de pescado. También son populares los mariscos, el plátano y las frutas tropicales. La cocina de Limón destaca por sus sabores intensos y el uso de especias.",0.863857626914978,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
62,GPT,costa rica,dish,INTERMEDIA,¿Cuáles son los ingredientes fundamentales de la dieta prehispánica de Mesoamérica?,"maíz, frijol, chile y calabaza","Los ingredientes fundamentales de la dieta prehispánica de Mesoamérica incluyen maíz, frijoles, chiles, calabazas, tomates, cacao y diversas frutas y verduras.",0.7138525247573853,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
63,GPT,costa rica,fauna,DIFÍCIL,¿Por qué está amenazada de extinción Bolitoglossa sooyorum?,debido a la destrucción de su hábitat,"Bolitoglossa sooyorum está amenazada de extinción principalmente debido a la pérdida de su hábitat natural, que se debe a la deforestación y la urbanización. Además, el cambio climático y la contaminación también afectan su supervivencia.",0.6351590156555176,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
64,GPT,costa rica,fauna,FÁCIL,¿Qué tipo de especie es Pygmodeon excelsum?,Es una especie de escarabajo longicornio.,Pygmodeon excelsum es una especie de planta.,0.3141864538192749,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
65,GPT,costa rica,fauna,INTERMEDIA,¿En qué país se distribuye Amorbia cocori?,Costa Rica,Amorbia cocori se distribuye en México.,0.5300835371017456,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
66,GPT,costa rica,flora,DIFÍCIL,¿En qué tipo de hábitat se desarrolla preferentemente Epiphyllum cartagense y a qué altitudes se encuentra?,"en bosques húmedos, a altitudes que oscilan entre los 600 y los 2000 m. s. n. m.","Epiphyllum cartagense se desarrolla preferentemente en hábitats tropicales y subtropicales, especialmente en bosques húmedos. Se encuentra a altitudes que varían entre 500 y 1,500 metros sobre el nivel del mar.",0.5375421047210693,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
67,GPT,costa rica,flora,FÁCIL,¿Qué tipo de planta es Epiphyllum grandilobum?,una especie de planta suculenta,"Epiphyllum grandilobum es una planta suculenta de la familia Cactaceae, conocida comúnmente como ""cactus orquídea"". Es una planta epífita que crece en los árboles y se caracteriza por sus grandes flores.",0.5560222864151001,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
68,GPT,costa rica,flora,INTERMEDIA,¿En qué tipo de hábitat se encuentra mayormente Ulmus mexicana?,mayormente en bosques nublados tropicales,"Ulmus mexicana, o el olmo mexicano, se encuentra mayormente en bosques templados y zonas de valles, especialmente en áreas húmedas y ribereñas.",0.4106404185295105,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
