Entity,Country,Category,Difficulty,Question,Answer
taquipayanaku,bolivia,tradition,INTERMEDIA,¿En qué se acompaña el taquipayanaku durante su interpretación?,de zapateo y música de charangos y acordeones
valle de curicó,chile,dish,DIFÍCIL,¿Cuáles son las dos zonas vitícolas que incluye el Valle de Curicó y qué características climáticas se destacan en esta subregión?,Valle del Teno y Valle del Lontué; se caracteriza por la alta variación de temperatura entre el día y la noche
choromytilus chorus,chile,dish,FÁCIL,¿Qué nombre común recibe el Choromytilus chorus?,choro zapato y choro maltón
valle del marga-marga,chile,dish,INTERMEDIA,¿En qué región vitícola se encuadra el Valle del Marga-Marga?,Se encuadra dentro de la región vitícola de Aconcagua.
jubaea chilensis,chile,flora,DIFÍCIL,¿Qué medidas de protección se han implementado para Jubaea chilensis desde 1974?,"Se encuentra protegida bajo el decreto ley 701 de 1974, que establece que la tala o explotación debe ejecutarse según un plan de manejo, aprobado por la Corporación Nacional Forestal (CONAF)."
alstroemeria huemulina,chile,flora,FÁCIL,¿Qué tipo de especie es Alstroemeria huemulina?,una especie fanerógama
laurolitsina,chile,flora,INTERMEDIA,¿En qué planta fue aislada la laurolitsina además del boldo?,en la corteza del peumo (Cryptocarya alba (Molina) Looser)
gran valparaíso,chile,geography,DIFÍCIL,¿Qué municipios reúne el Gran Valparaíso y cuál es su municipio principal?,"reúne a cinco municipios de la Región de Valparaíso, siendo su municipio principal Valparaíso"
puerto río tranquilo,chile,geography,FÁCIL,¿Qué tipo de lugar es Puerto Río Tranquilo?,una pequeña aldea
crisis de la marea roja en chiloé de 2016,chile,geography,INTERMEDIA,¿Qué microalga fue responsable de la crisis de la marea roja en Chiloé de 2016?,Alexandrium catenella
jorge jobet,chile,public_figure,DIFÍCIL,¿Qué ocupaciones tuvo Jorge Jobet y en qué institución fue director de la Escuela de Periodismo?,Poeta y periodista; la Escuela de Periodismo de Valparaíso
camilo josé vergara,chile,public_figure,FÁCIL,¿Dónde nació Camilo José Vergara?,Chile
próspero bisquertt prado,chile,public_figure,INTERMEDIA,¿En qué institución trabajó Próspero Bisquertt Prado entre los años 1913 y 1923?,Trabajó en la Dirección General de Impuestos Internos.
loza policromada de talagante,chile,tradition,DIFÍCIL,¿Quién fue una de las principales figuras que mantuvo la tradición de la loza policromada en Talagante y qué tipo de imágenes recreaba?,"Antonina viuda de Calderón, quien recreaba imágenes costumbristas."
amerindios (banda),chile,tradition,FÁCIL,¿En qué año fue fundada la banda Amerindios?,en 1967 en Santiago de Chile
festival internacional de teatro por chiloé profundo,chile,tradition,INTERMEDIA,¿En qué año fue fundado el Festival Internacional de Teatro Itinerante por Chiloé Profundo?,el año 2010.
lulada,colombia,dish,DIFÍCIL,¿Qué ingredientes se mezclan en la lulada y cómo se caracteriza su preparación?,se mezcla con jugo de limón y se caracteriza por el maceramiento o troceo de la pulpa de la fruta con la mano
hojaldra,colombia,dish,FÁCIL,¿Qué es la hojaldra?,una fritura típica de países latinoamericanos como Colombia y Panamá.
chocoramo,colombia,dish,INTERMEDIA,¿En qué año fue lanzado al mercado el Chocoramo?,En 1972.
rhinella macrorhina,colombia,fauna,DIFÍCIL,¿Por qué está amenazada de extinción Rhinella macrorhina y en qué tipo de hábitat vive?,debido a la fragmentación y pérdida de su hábitat; vive en la hojarasca del bosque
Hemidoras stenopeltis,Colombia,fauna,FÁCIL,¿Qué tipo de especie es Hemidoras stenopeltis?,una especie de pez de la familia Doradidae en el orden de los Siluriformes
Petilipinnis grunniens,Colombia,fauna,INTERMEDIA,¿Dónde se encuentra Petilipinnis grunniens?,"Se encuentran en Sudamérica: cuencas de los ríos Amazonas, Cuyuni y Esequibo."
páramo de frontino,colombia,geography,DIFÍCIL,¿Qué corrientes de aire afectan al Páramo de Frontino y cómo influyen en su clima?,las corrientes de aire provenientes del mar Caribe y del océano Pacífico
parque nacional natural corales de profundidad,colombia,geography,FÁCIL,¿Qué tipo de área protegida es el Parque nacional natural Corales de Profundidad?,una de las áreas protegidas del sistema de Parques Nacionales naturales de Colombia
cabildo indígena,colombia,geography,INTERMEDIA,¿Qué función ejerce un cabildo indígena?,la función de representar a las comunidades indígenas colombianas ante el gobierno local y nacional
tour pies descalzos,colombia,public_figure,DIFÍCIL,"¿Qué evento trágico ocurrió durante el ""Tour Pies Descalzos"" en Barranquilla y cuál fue su saldo?",Una estampida de fanáticos que terminó en tragedia con un saldo de 3 muertos y 120 heridos.
gris (canción de j balvin),colombia,public_figure,FÁCIL,"¿Quién es el cantante de la canción ""Gris""?",J Balvin
dançando,colombia,public_figure,INTERMEDIA,"¿Quién es la artista que interpreta ""Dançando""?",la artista brasileña Ivete Sangalo
festival internacional de la cultura de boyacá 2011,colombia,tradition,DIFÍCIL,¿Cuáles fueron el país y el departamento invitados especiales en la 39.ª edición del Festival Internacional de la Cultura de Boyacá?,España y Valle del Cauca
mapalé,colombia,tradition,FÁCIL,¿Qué es el mapalé?,un ritmo afrocolombiano de danza.
son de negro,colombia,tradition,INTERMEDIA,¿En qué lugar tiene un enorme arraigo el Son de Negro?,en las orillas del Canal del Dique
Platanitos,Costa Rica,dish,DIFÍCIL,¿Qué nombre reciben los platanitos en Colombia y cómo se les llama en el departamento de Valle del Cauca?,En Colombia se les llama platanitos y en el departamento de Valle del Cauca se les llama patacones.
gastronomía de la provincia de limón,costa rica,dish,FÁCIL,¿Qué es la gastronomía de la provincia de Limón?,La cocina tradicional de la provincia de Limón en Costa Rica.
Dieta prehispánica de Mesoamérica,Costa Rica,dish,INTERMEDIA,¿Cuáles son los ingredientes fundamentales de la dieta prehispánica de Mesoamérica?,"maíz, frijol, chile y calabaza"
Bolitoglossa sooyorum,Costa Rica,fauna,DIFÍCIL,¿Por qué está amenazada de extinción Bolitoglossa sooyorum?,debido a la destrucción de su hábitat
Pygmodeon excelsum,Costa Rica,fauna,FÁCIL,¿Qué tipo de especie es Pygmodeon excelsum?,Es una especie de escarabajo longicornio.
Amorbia cocori,Costa Rica,fauna,INTERMEDIA,¿En qué país se distribuye Amorbia cocori?,Costa Rica
Epiphyllum cartagense,Costa Rica,flora,DIFÍCIL,¿En qué tipo de hábitat se desarrolla preferentemente Epiphyllum cartagense y a qué altitudes se encuentra?,"en bosques húmedos, a altitudes que oscilan entre los 600 y los 2000 m. s. n. m."
Epiphyllum grandilobum,Costa Rica,flora,FÁCIL,¿Qué tipo de planta es Epiphyllum grandilobum?,una especie de planta suculenta
ulmus mexicana,costa rica,flora,INTERMEDIA,¿En qué tipo de hábitat se encuentra mayormente Ulmus mexicana?,mayormente en bosques nublados tropicales
Riftia pachyptila,Costa Rica,geography,DIFÍCIL,¿Cuál es la importancia del descubrimiento del Riftia pachyptila en el contexto de la simbiosis entre invertebrados y bacterias marinas?,"Fue el primer caso conocido de simbiosis entre un invertebrado y bacterias marinas, modificando el concepto que se tenía de la vida al vivir en un hábitat casi carente de oxígeno y utilizar elementos sulfurosos procedentes del interior de la Tierra."
Chaetodontoplus melanosoma,Costa Rica,geography,FÁCIL,¿Qué tipo de pez es Chaetodontoplus melanosoma?,"una especie de ""pez ángel"" de la familia Pomacanthidae"
Panesthia angustipennis,Costa Rica,geography,INTERMEDIA,¿Dónde se encuentra la especie Panesthia angustipennis?,En Japón.
pirata sin cabeza,costa rica,tradition,DIFÍCIL,¿Quiénes fueron los piratas que sembraron el terror en Hispanoamérica y anclaron en el río Jesús María?,Bartolomé Sharp y William Dampier
mitología guatusa,costa rica,tradition,FÁCIL,¿Qué agrupa la mitología guatusa?,Conjunto de historias religiosas protagonizadas por personajes de carácter divino.
Cuentos viejos,Costa Rica,tradition,INTERMEDIA,¿Cuántos cuentos tradicionales fueron recopilados originalmente en Cuentos viejos?,14 cuentos tradicionales
Coppelia (empresa),Cuba,dish,DIFÍCIL,¿Quién dirigió el proyecto de Coppelia y qué objetivo tenía en relación a las marcas estadounidenses?,Fidel Castro; producir más sabores de helado que las grandes marcas estadounidenses
cojito,cuba,dish,FÁCIL,¿Qué es el cojito?,un cóctel dulce hecho con lima y menta
pan cubano,cuba,dish,INTERMEDIA,¿Qué tipo de forma suelen tener las piezas de pan cubano?,piezas alargadas
Mesocapromys auritus,Cuba,fauna,DIFÍCIL,¿Qué características distintivas tiene la jutía rata (Mesocapromys auritus) y cuál es su hábitat específico?,"Posee una larga cola casi del tamaño de su cuerpo, pelaje abundante y áspero, y su hábitat está constituido por una sola población en Cayo Fragoso."
Eleutherodactylus bartonsmithi,Cuba,fauna,FÁCIL,¿Qué tipo de especie es Eleutherodactylus bartonsmithi?,una especie de rana de la familia Eleutherodactylidae
Leptostylus heticus,Cuba,fauna,INTERMEDIA,¿En qué año fue descrita Leptostylus heticus?,1975
Hemithrinax,Cuba,flora,DIFÍCIL,¿Quién describió el género Hemithrinax y en qué publicación se realizó?,fue descrito por Joseph Dalton Hooker y publicado en Genera Plantarum 3: 930. 1883
Ximenia roigii,Cuba,flora,FÁCIL,¿Qué tipo de especie es Ximenia roigii?,Es una especie de planta en la familia Olacaceae.
Machaonia havanensis,Cuba,flora,INTERMEDIA,¿Dónde se distribuye Machaonia havanensis?,"desde México (Chiapas) hasta Belice, Cuba"
Torrey Canyon,Cuba,geography,DIFÍCIL,¿Cuál fue el impacto del hundimiento del Torrey Canyon en las normas internacionales de navegación?,"El desastre del Torrey Canyon condujo a una profunda reestructuración de las normas internacionales de navegación, sobre todo en lo referente a la responsabilidad civil de las compañías y a la prevención de desastres ambientales del mismo tipo."
Tormenta tropical Ana (2003),Cuba,geography,FÁCIL,¿Qué tipo de fenómeno meteorológico fue la tormenta tropical Ana?,Tormenta tropical.
SS Yarmouth,Cuba,geography,INTERMEDIA,¿En qué año fue construido el SS Yarmouth?,1903.
clave (instrumento de percusión),cuba,object,DIFÍCIL,¿Cuál es el origen de las claves y para qué se utilizaban inicialmente en Cuba?,proviene de clavijas de ácanas que fijaban el maderamen de los barcos y se utilizó para marcar el ritmo de trabajo entre los astilleros cubanos
guataca,cuba,object,FÁCIL,¿Qué es la guataca?,la palabra para la Azada
Bongó,Cuba,object,INTERMEDIA,¿Dónde se documentó por primera vez el uso del bongó?,la región oriental de Cuba
fritada (ecuador),ecuador,dish,DIFÍCIL,"¿Qué ingredientes autóctonos de la sierra ecuatoriana se agregaron a la fritada, y quién introdujo el cerdo al continente americano?","mote, choclo y papas; los españoles"
Corporación Fernández,Ecuador,dish,FÁCIL,¿Qué tipo de empresa es Corporación Fernández?,una Empresa Nacional
mote pillo,ecuador,dish,INTERMEDIA,¿Cuáles son los ingredientes principales del mote pillo?,mote y huevo
Pithecia aequatorialis,Ecuador,fauna,DIFÍCIL,¿Cuáles son las características distintivas del Sakí ecuatorial en términos de su comportamiento social y dieta?,"Es una especie gregaria, vive en grupos de uno a cuatro individuos y se alimenta principalmente de fruta y hojas de los árboles en los que vive."
Puffinus subalaris,Ecuador,fauna,FÁCIL,¿Qué tipo de especie es Puffinus subalaris?,Es una pequeña ave.
Knodus septentrionalis,Ecuador,fauna,INTERMEDIA,¿Dónde se encuentra Knodus septentrionalis?,Sudamérica: cuenca del río Pastaza en Ecuador
Brachyotum confertum,Ecuador,flora,DIFÍCIL,¿Qué características distintivas tiene Brachyotum confertum y en qué parque está protegida?,es un endemismo de Ecuador y está protegida en el interior del Parque nacional Cajas
ecuadendron,ecuador,flora,FÁCIL,¿Qué tipo de planta es el Ecuadendron?,un género monotípico de plantas de la subfamilia Caesalpinioideae
Anthurium andraeanum,Ecuador,flora,INTERMEDIA,¿Dónde es nativa el Anthurium andraeanum?,Colombia y Ecuador
Parroquia Sucre (Guayaquil),Ecuador,geography,DIFÍCIL,¿A quién se le debe el nombre de la Parroquia Sucre y qué evento histórico relevante está asociado con esta figura?,"Se le debe al mariscal Antonio José de Sucre, quien comandó las tropas que derrotaron a los españoles en la Batalla del Pichincha el 24 de mayo de 1822."
Cantón Eloy Alfaro,Ecuador,geography,FÁCIL,¿Cuál es la cabecera cantonal del Cantón Eloy Alfaro?,la ciudad de Valdez más conocida como Limones
Cantón El Carmen,Ecuador,geography,INTERMEDIA,¿Cuál es la cabecera cantonal del Cantón El Carmen?,la ciudad de El Carmen
diablada de píllaro,ecuador,tradition,DIFÍCIL,¿Cuál es el origen histórico de la diablada de Píllaro y qué cambios ha tenido en su vestimenta a lo largo del tiempo?,se origina durante la época colonial y ha cambiado su vestido
festival concha acústica villa flora,ecuador,tradition,FÁCIL,¿Cuándo se efectúa el festival de la Concha Acústica de la Villa Flora?,Cada 31 de diciembre.
Warmi tukushka,Ecuador,tradition,INTERMEDIA,¿Qué representa la warmitukushka durante el Pawkar Raymi?,"Representa a la Pachamama, así como a la parte femenina presente en los hombres y la dualidad entre ambos."
Bebidas de El Salvador,El Salvador,dish,DIFÍCIL,"¿Qué bebida alcohólica tradicional de El Salvador se elabora a partir de la fermentación y destilación de caña de azúcar, maíz o panela?",Chaparro
Bebidas de El Salvador,El Salvador,dish,FÁCIL,¿Qué forma parte de la gastronomía de El Salvador?,Bebidas de El Salvador
gallo en chicha,el salvador,dish,INTERMEDIA,¿Cuáles son algunos de los ingredientes que se utilizan para hacer gallo en chicha?,"gallo, chicha salvadoreña y panela"
Geophis fulvoguttatus,El Salvador,fauna,DIFÍCIL,¿Cuál es el hábitat natural de Geophis fulvoguttatus y qué amenaza enfrenta?,el bosque nublado; la pérdida de su hábitat natural
Bolitoglossa celaque,El Salvador,fauna,FÁCIL,¿Qué tipo de especie es Bolitoglossa celaque?,una especie de salamandra de la familia Plethodontidae
Tropidodipsas sartorii,El Salvador,fauna,INTERMEDIA,¿Dónde se encuentra nativa la culebra caracolera terrestre?,"En México neotropical, Belice, Guatemala, El Salvador, Honduras, Nicaragua y Costa Rica."
ipomoea nil,el salvador,flora,DIFÍCIL,¿Cómo se conoce comúnmente a Ipomoea nil y qué tipo de planta es?,Comúnmente conocida como campanilla y es una planta trepadora.
adiantum andicola,el salvador,flora,FÁCIL,¿Qué tipo de especie es Adiantum andicola?,Especie de helechos en el género Adiantum.
Podocarpus oleifolius,El Salvador,flora,INTERMEDIA,¿Dónde se encuentra Podocarpus oleifolius?,"Se halla en Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, México, Panamá, Perú y Venezuela."
Citalá,El Salvador,geography,DIFÍCIL,¿Qué significa el topónimo Citalá y de qué idioma proviene?,"Citalá proviene del idioma maya-Chortí Kujkaija que significa ""Donde abundan las estrellas"" o ""Río de estrellas""."
Arambala,El Salvador,geography,FÁCIL,¿Qué tipo de lugar es Arambala?,"un distrito del municipio de Morazán Norte del departamento de Morazán, El Salvador."
Nueva Esperanza (El Salvador),El Salvador,geography,INTERMEDIA,¿Dónde se ubica Nueva Esperanza?,"Nueva Esperanza se ubica en el municipio de Jiquilisco, en la zona del Bajo Lempa (Usulután, El Salvador)."
mataniño (gastronomía salvadoreña),el salvador,tradition,DIFÍCIL,¿Por qué el mataniño es considerado una opción económica y popular en El Salvador?,Su bajo costo —entre $0.50 y $1.00— lo convierte en una opción económica y popular para saciar el hambre rápidamente.
Mitología pipil,El Salvador,tradition,FÁCIL,¿Qué es la mitología pipil?,La mitología pipil es una extensión cultural de las creencias de los pueblos nahuas practicada por los pueblos denominados pipiles.
yuca con chicharrón,el salvador,tradition,INTERMEDIA,¿Qué ingredientes se incluyen en la yuca con chicharrón?,1 yuca mediana y 2 chicharrón
pepián (guatemala),guatemala,dish,DIFÍCIL,¿Cuál es el contexto histórico del pepián y qué reconocimiento recibió en 2007?,Se remonta a la segunda mitad del siglo XVI y fue declarado Patrimonio Cultural Intangible de la Nación.
Pachay,Guatemala,dish,FÁCIL,¿Qué es el pachay?,El pachay o pachai es un platillo típico originario de la cultura maya q'eqchi´.
chirmol de zapatero,guatemala,dish,INTERMEDIA,¿Cuál es el departamento de Guatemala donde es característico el chirmol de zapatero?,Escuintla
Anolis cristifer,Guatemala,fauna,DIFÍCIL,¿Dónde es nativo Anolis cristifer y cuál es su rango altitudinal?,el sur de Chiapas (México) y de Guatemala; entre 0 y 1500 m s. n. m.
Anolis matudai,Guatemala,fauna,FÁCIL,¿Qué tipo de especie es Anolis matudai?,una especie de lagarto
Ecnomiohyla minera,Guatemala,fauna,INTERMEDIA,¿Dónde es endémica Ecnomiohyla minera?,Guatemala y el sur de Belice
Abarema cochliacarpos,guatemala,flora,DIFÍCIL,¿Quién describió Abarema cochliacarpos y en qué publicación se realizó?,Fue descrita por (Gomes) Barneby & J.W.Grimes y publicado en Memoirs of The New York Botanical Garden 74(1): 94. 1996.
Lemaireocereus lepidanthus,Guatemala,flora,FÁCIL,¿Qué tipo de especie es Lemaireocereus lepidanthus?,una especie de planta suculenta perteneciente a la familia Cactaceae
dyssodia decipiens,guatemala,flora,INTERMEDIA,¿Dónde se distribuye Dyssodia decipiens?,el sur de México (Oaxaca y Chiapas) y Guatemala
Reserva de la biosfera transfronteriza Trifinio-Fraternidad,Guatemala,geography,DIFÍCIL,¿Cuál es el objetivo del Plan Trifinio relacionado con la reserva de la biosfera transfronteriza Trifinio-Fraternidad?,El objetivo es el desarrollo de esta región fronteriza.
Río Las Vacas,Guatemala,geography,FÁCIL,¿Dónde nace el río Las Vacas?,En los cerros que forman la periferia sudeste de la Ciudad de Guatemala.
Fundación Guatemalteca de Antropología Forense,Guatemala,geography,INTERMEDIA,¿Qué permite la Fundación Guatemalteca de Antropología Forense a los familiares de los desaparecidos?,recuperar los restos de sus familiares
baile de la conquista,guatemala,tradition,DIFÍCIL,¿Qué personajes participan en el Baile de la Conquista y cuál es su significado cultural?,"los oficiales españoles con don Pedro de Alvarado a la cabeza, los caciques indígenas dirigidos por Tecún Umán y la familia real Quiché"
huelga de dolores,guatemala,tradition,FÁCIL,¿Qué es la Huelga de Dolores?,una tradicional manifestación
leyendas de guatemala,guatemala,tradition,INTERMEDIA,¿Qué es un nahual en el contexto de las leyendas de Guatemala?,Un espíritu protector que cada persona trae desde su nacimiento.
nacatamal,honduras,dish,DIFÍCIL,¿De qué cultura se originó el nacatamal y en qué contexto histórico se consumía?,se originó de los Nahua Nicaraos del oeste de Nicaragua y formaba parte de festines luego de victorias
Alcitrón,Honduras,dish,FÁCIL,¿Qué fruta se utiliza para elaborar el alcitrón?,Chilacayote (cucurbita ficifolia)
café de honduras,honduras,dish,INTERMEDIA,¿En cuántas hectáreas es cultivado el café de Honduras?,280 mil hectáreas
Laguna de Ticamaya,Honduras,fauna,DIFÍCIL,¿Qué características geográficas tiene la Laguna de Ticamaya en relación a su ubicación y profundidad máxima?,se ubica en una zona montañosa y tiene una profundidad máxima de 5m
Anolis bicaorum,Honduras,fauna,FÁCIL,¿Qué tipo de especie es Anolis bicaorum?,una especie de escamosos de la familia Dactyloidae
Hidrografía de Honduras,Honduras,fauna,INTERMEDIA,¿Cuál es el lago más grande de Honduras y qué área tiene?,"lago de Yojoa, 90 km²"
Abarema filamentosa,honduras,flora,DIFÍCIL,¿En qué publicación se describió Abarema filamentosa y en qué año?,publicado en Trabajos del Museo Comercial de Venezuela 2: 86. 1927
Hondurodendron,Honduras,flora,FÁCIL,¿Qué tipo de árbol es Hondurodendron?,monotípico de árbol endémico de Honduras
Abarema turbinata,honduras,flora,INTERMEDIA,¿Dónde se encuentra Abarema turbinata?,A lo largo de la costa de Bahía.
Parque nacional Capiro y Calentura,Honduras,geography,DIFÍCIL,¿Cuál es la superficie total del Parque nacional Capiro y Calentura y en qué año fue establecido?,Cubre una superficie total de 62 kilómetros cuadrados y fue establecido el 1 de enero de 1992.
Parque nacional Cerro Azul Meámbar,Honduras,geography,FÁCIL,¿Qué tipo de lugar es el Parque Nacional Cerro Azul Meámbar?,Un parque nacional.
Isla del Toro,Honduras,geography,INTERMEDIA,¿A qué país pertenece la Isla del Toro?,al país centroamericano de Honduras
jorge montenegro (escritor),honduras,tradition,DIFÍCIL,¿Qué obra de Jorge Montenegro fue publicada en 1972 y se relaciona con la recopilación de la tradición oral hondureña?,Cuentos y leyendas de Honduras
mitología tolupan,honduras,tradition,FÁCIL,¿De dónde es originaria la mitología Tolupan?,Honduras
El Picudo,Honduras,tradition,INTERMEDIA,¿Qué tipo de toxina produce El Picudo?,una neurotoxina
sal de gusano,méxico,dish,DIFÍCIL,¿En qué platos se utiliza la sal de gusano y con qué bebida se acompaña?,acompaña sopas como la sopa de guías y al mezcal
chogosta,méxico,dish,FÁCIL,¿Qué es la chogosta?,"un dulce típico de Jáltipan, al sur del estado de Veracruz, México, a base de un tipo de barro o tierra comestible."
gansito,méxico,dish,INTERMEDIA,¿Cuántas calorías tiene un Gansito?,198 calorías
Obrium planicolle,México,fauna,DIFÍCIL,¿Quiénes describieron la especie Obrium planicolle y en qué año?,Fue descrita por Hovore & Chemsak en 1980.
Thorius lunaris,México,fauna,FÁCIL,¿Qué tipo de especie es Thorius lunaris?,Es una especie de salamandras en la familia Plethodontidae.
Triprion spinosus,México,fauna,INTERMEDIA,¿Dónde se encuentra la rana de corona (Triprion spinosus)?,"Tiene una distribución muy fragmentada que cubre partes del sur de México, noreste de Honduras, vertiente atlántica de Costa Rica y el centro-oeste de Panamá."
loeselia mexicana,méxico,flora,DIFÍCIL,¿Qué uso tiene Loeselia mexicana en la medicina tradicional de México y qué compuesto se ha aislado de ella?,Tiene un uso extendido en la medicina tradicional de México y se ha aislado la dafnoretina.
sedum craigii,méxico,flora,FÁCIL,¿Qué tipo de planta es el Sedum craigii?,una especie de planta suculenta de la familia Crassulaceae
barbosella prorepens,méxico,flora,INTERMEDIA,¿Dónde se encuentra Barbosella prorepens?,en hábitat de nebliselvas
gorky gonzález,méxico,object,DIFÍCIL,¿Qué técnica de cerámica aprendió Gorky González durante su estancia en Japón y quién fue su maestro?,"shigaraky, Tsuji Seimei"
chirimía,méxico,object,FÁCIL,¿Qué es la chirimía?,un instrumento musical de viento-madera parecido al oboe y de doble lengüeta.
Guadalupe Vázquez Luna,México,object,INTERMEDIA,¿Qué organización fue la primera en otorgar el bastón de mando a Guadalupe Vázquez Luna?,la organización Las Abejas
Huipil Oaxaqueño,México,tradition,DIFÍCIL,"¿Qué significa el término ""huipil"" y de dónde proviene?","""Mi vestido"" o ""ropa adornada"", proviene del náhuatl ""huipilli""."
El Chapo de Sinaloa,México,tradition,FÁCIL,¿Quién es El Chapo de Sinaloa?,un cantante mexicano
Lupe Mejía,México,tradition,INTERMEDIA,¿A qué edad empezó a cantar Lupe Mejía?,a los siete años
pinolillo,nicaragua,dish,DIFÍCIL,¿Qué relación tiene el pinolillo con el gofio canario y el pinole mexicano en la cultura nicaragüense?,está relacionado con el pinole mexicano y el gofio canario
gastronomía de nicaragua,nicaragua,dish,FÁCIL,¿Cuál es la base de la gastronomía de Nicaragua?,maíz
cushta,nicaragua,dish,INTERMEDIA,¿Cuál es el ingrediente principal de la cushta?,una variedad de cacao silvestre denominada theobroma grandiflora
